rmse,batch_size,learning_rate,validation_split,epochs,patch_size
9.846653295192365,32,0.0002051338263087451,0.16559945203362025,15,50
9.481213917974767,32,0.00010994335574766199,0.24699098521619944,15,50
12.147146861707188,16,0.0004059611610484307,0.20247564316322378,15,50
7.557381907861315,64,0.0003839629299804173,0.18663618432936918,15,50
9.415240784664146,32,0.0015304852121831463,0.15464504127199977,15,50
11.871050689910387,128,0.00853618986286683,0.2308397348116461,15,50
7.091790689115314,64,0.00017541893487450815,0.199517691011127,15,50
8.153629978342803,32,0.0004201672054372534,0.20200680211778108,15,50
8.128065733966698,64,0.007568292060167618,0.23948273504276488,15,50
7.31075533407373,32,0.00012315571723666037,0.18253303307632643,15,50
11.549996538698412,64,0.001726045534660375,0.21961178033583212,15,50
9.654150083283687,16,0.0001070886827256171,0.18005648230493462,15,50
8.791869343474934,128,0.00021811010266905374,0.18347951762232362,15,50
8.35887529537397,64,0.0008093083243380652,0.21609310978478252,15,50
7.292488298900425,32,0.00019567315484996705,0.1727831319804855,15,50
6.356195878330149,64,0.0008234806276750751,0.1656109191416495,15,50
9.452800146148618,64,0.0037915727349072956,0.1597360156450895,15,50
6.991446309790668,64,0.0008657857585898337,0.19513002049177872,15,50
8.52738087987221,64,0.0008883116653692044,0.15194344197990414,15,50
8.373425236013365,64,0.0020069207300759365,0.19309631294189203,15,50
10.244232415878084,128,0.0005826778053331336,0.16899585068515738,15,50
10.839428131108793,64,0.003316063599064155,0.20960689390146575,15,50
9.239486493130356,64,0.0012688863136855824,0.19365601731732646,15,50
7.903805562164466,64,0.000632960957126309,0.2251613424815789,15,50
12.372251263143639,16,0.002389525370602792,0.2104715884473909,15,50
8.276241760203712,64,0.0011504590622152602,0.19509697019508007,15,50
10.798937455643422,64,0.00029649081930155623,0.17669037520755526,15,50
8.662365457389962,64,0.0005726499724252301,0.16238923009017486,15,50
8.511059466350009,64,0.004524540905246319,0.20695798282826544,15,50
14.511834938128409,128,0.0001752075508253468,0.18819249987770054,15,50
46.45863783298941,32,0.0002051338263087451,0.16559945203362025,15,50
24.241025542165858,32,0.0002051338263087451,0.16559945203362025,15,50
9.66825559864864,32,0.0002051338263087451,0.16559945203362025,15,50
22.608487505257635,32,0.00010994335574766199,0.24699098521619944,15,50
20.033205314815373,32,0.00010994335574766199,0.24699098521619944,15,50
24.232167402271692,32,0.00010994335574766199,0.24699098521619944,15,50
32.90470489902907,16,0.0004059611610484307,0.20247564316322378,15,50
8.390442233519247,16,0.0004059611610484307,0.20247564316322378,15,50
21.534629434763396,16,0.0004059611610484307,0.20247564316322378,15,50
32.43810023228376,64,0.0003839629299804173,0.18663618432936918,15,50
6.845350383208772,64,0.0003839629299804173,0.18663618432936918,15,50
23.643644211946132,64,0.0003839629299804173,0.18663618432936918,15,50
41.108813778951344,32,0.0015304852121831463,0.15464504127199977,15,50
21.369495419233843,32,0.0015304852121831463,0.15464504127199977,15,50
7.776573645009092,32,0.0015304852121831463,0.15464504127199977,15,50
26.781363951041122,128,0.00853618986286683,0.2308397348116461,15,50
34.67688287684877,128,0.00853618986286683,0.2308397348116461,15,50
23.476879677557903,128,0.00853618986286683,0.2308397348116461,15,50
41.15497459109591,64,0.00017541893487450815,0.199517691011127,15,50
28.091460035981132,64,0.00017541893487450815,0.199517691011127,15,50
31.63371259370195,64,0.00017541893487450815,0.199517691011127,15,50
23.119527963221643,32,0.0004201672054372534,0.20200680211778108,15,50
34.127249954444395,32,0.0004201672054372534,0.20200680211778108,15,50
38.4796025131538,32,0.0004201672054372534,0.20200680211778108,15,50
45.51151876002107,64,0.007568292060167618,0.23948273504276488,15,50
37.899908656510966,64,0.007568292060167618,0.23948273504276488,15,50
30.9269651413061,64,0.007568292060167618,0.23948273504276488,15,50
36.995979709266216,32,0.00012315571723666037,0.18253303307632643,15,50
56.024031795934455,32,0.00012315571723666037,0.18253303307632643,15,50
28.143834839145946,32,0.00012315571723666037,0.18253303307632643,15,50
33.04883083751319,128,0.0016077301874171507,0.24695371107878658,15,50
37.27283243980711,128,0.00158347261560918,0.1507547319316293,15,50
15.844595561139885,64,0.001732589459161916,0.21961178033583212,15,50
34.56374319644792,32,0.0006228997444898865,0.22035680401397958,15,50
31.648439428536104,32,0.0019062374828215129,0.15387251999611828,15,50
22.025096104181646,16,0.0014495140946235857,0.15387251999611828,15,50
7.66712820350071,32,0.00010329068014313559,0.21538152285414822,15,50
40.32505406507922,32,0.0037747084361634308,0.1689115040744876,15,50
9.176985972159002,128,0.0030323024721436984,0.17832572956269618,15,50
33.3382031761705,16,0.00010396674370505896,0.2216809563563387,15,50
43.380223028472315,16,0.001189511850194158,0.16453298577219327,15,50
39.95464805710579,64,0.0006151704749879732,0.15129410161398266,15,50
21.81106239106553,32,0.0002194155827423946,0.24957127478592395,15,50
26.153100775544402,32,0.000739115897463125,0.17062614631760947,15,50
26.06918285872948,32,0.0007704560035945586,0.17782164607794443,15,50
28.280724485794316,32,0.00020898142970091264,0.22358273163829867,15,50
8.352625323362737,32,0.0028070915454124364,0.1812633126697201,15,50
24.66191192714676,64,0.0028070915454124364,0.1656109191416495,15,50
7.868844426976987,32,0.0010872222491939444,0.21244121912453948,15,50
39.79588577245219,32,0.003499678294814924,0.18439951411253855,15,50
24.825825147178517,16,0.0003712085139145849,0.18774727190459412,15,50
9.889159276268446,16,0.00349404333081963,0.21026859532844724,15,50
32.15240425861455,16,0.003030255572527007,0.21768180580956153,15,50
34.664618015889054,128,0.001147566771261192,0.21526812002249812,15,50
46.66149815593419,128,0.0008883116653692044,0.18419988100112292,15,50
8.957963045732603,128,0.0007055622310791836,0.1770629492010903,15,50
40.72866281391245,64,0.003446511659889727,0.16498222007677102,15,50
8.788210462172684,32,0.0024241990712749618,0.21332989742705494,15,50
35.16530265392561,128,0.0006385082009600541,0.21608557252922866,15,50
37.61961878825246,32,0.00023717300866001888,0.19124496499820232,15,50
22.889078446048785,128,0.0008251527996939971,0.19109905463720983,15,50
7.5755651181367885,32,0.0051074689869836576,0.23404758216277868,15,50
6.933853703313553,128,0.00024258555090671147,0.17622561797147313,15,50
40.78342906055718,32,0.0007044401920888023,0.17083411538047252,15,50
7.530050475013431,32,0.004874838174739162,0.23427952373170288,15,50
9.63660355689664,128,0.00020568048470367194,0.17681086818456582,15,50
28.759266297129674,32,0.0051951481523323075,0.23343963925162559,15,50
40.15417218602959,16,0.0003899048842606577,0.20836623261279102,15,50
34.38353232176524,128,0.00028033131635456747,0.19362952808131162,15,50
27.605850970627586,32,0.0037800146224090743,0.23307110491972838,15,50
38.33020148268366,16,0.0003038914767546808,0.19120352765283183,15,50
39.54842759200421,128,0.005324556490001048,0.17634852965686224,15,50
8.455378374851954,32,0.005638229318297632,0.2267410437667911,15,50
20.294208260388373,128,0.002106397978144513,0.16144184297417852,15,50
6.214691524691335,16,0.0005116429739528127,0.2251613424815789,15,50
14.473148608359152,32,0.0027085565321609793,0.24087890994251665,15,50
7.814328399326428,128,0.0005250967036570358,0.17669037520755526,15,50
44.34770837688516,16,0.0018158532922746594,0.22411531911799476,15,50
8.038831405357966,64,0.0021408807943718287,0.23722068211146544,15,50
32.83776371170755,128,0.0005361291269468335,0.20995018382569194,15,50
10.328845946849532,128,0.009562730239893845,0.21652796788384066,15,50
26.111580500430623,16,0.000971912706548493,0.23644054334991818,15,50
24.88273400694056,64,0.00028804982273031857,0.19332245151715022,15,50
25.859113008491562,64,0.0005047116346834319,0.21067211357607818,15,50
25.61606051195897,16,0.005696118706753317,0.19256972699054933,15,50
32.69866600932005,128,0.005274592255837507,0.15820561525708238,15,50
9.305028593664087,16,0.0011702498313814688,0.17217329982018603,15,50
6.719862451053889,32,0.003684513299316511,0.17126303629303077,15,50
34.007940823615,32,0.0002051338263087451,0.16559945203362025,15,50
31.765596178663756,16,0.0009696589669662698,0.2272452656727697,15,50
34.795040224416326,32,0.0002051338263087451,0.16559945203362025,15,50
12.751476127594687,32,0.00010994335574766199,0.24699098521619944,15,50
41.09167948681186,32,0.0002232874492927032,0.17126303629303077,15,50
