rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,early_stopping_rounds
24.94332198251543,690,15,0.06868001105462379,0.9535136566748709,0.8253981097633685,29
18.988521120039124,788,12,0.1068089497792093,0.6610614342846736,0.7618316945820127,45
17.432500088230945,488,7,0.27401138550308085,0.5517782389486652,0.8330481003549697,14
19.080776170981867,838,6,0.03256730000649839,0.8545480457514782,0.5790926197922097,19
24.25412235418703,794,14,0.20293890353302677,0.9743889871320655,0.7626238418242199,48
25.37231431099839,773,9,0.13089961821936885,0.8454499076285784,0.8207181337848279,16
24.185973284342673,550,7,0.026364915494660454,0.6066362924610502,0.878653710199469,44
19.34077354296447,152,15,0.05034896169822524,0.6931549705342761,0.6729779718457067,13
21.63806886415518,114,9,0.0676749114040126,0.8507964234983961,0.8682832077852753,37
24.077389873593027,240,9,0.21049930624777988,0.9018032685565474,0.6783628342384267,40
27.6487035078331,387,3,0.01011684296758142,0.5098882634107363,0.9264222386998768,25
25.386813415829806,974,12,0.29880504264449587,0.6292630027305173,0.9666876902818171,33
27.130385185119817,545,12,0.11618629925605745,0.5015191414217086,0.7192221610744802,10
23.654323887488705,539,12,0.11362204874710857,0.7218779568854479,0.5662199081649644,21
16.33197846275253,411,6,0.28281190768595094,0.5892623539191859,0.7745911953150302,28
25.465229338716693,391,4,0.28013360130076276,0.5693572770627311,0.9974515091779714,25
26.449287690520844,397,6,0.17923837633780415,0.7708261371598754,0.6389649760227982,31
23.674005937502557,292,7,0.013092148864919068,0.5676754433031086,0.8161267490354709,23
15.707105566691883,680,4,0.16429374711718558,0.7596072777672774,0.5197487017820535,10
27.489728639331137,652,4,0.16153609644132555,0.7705980685701471,0.5157297329961978,37
16.63917980813658,663,5,0.08278051993987878,0.7921746332726983,0.6090994292771039,27
19.78417792805813,649,5,0.08736409983960755,0.8016709349755998,0.5046913507138772,28
24.69873285788476,930,3,0.15915805665571167,0.7263369005574313,0.5998948052431698,34
27.899257898886734,700,5,0.03798772986369188,0.8093951481778959,0.5417797464923091,18
17.710660941543885,470,5,0.07999875572065207,0.682169869353958,0.6177855569916568,28
15.59703503333421,605,8,0.21684201820384907,0.7364490237540929,0.7171468233931385,10
19.498351198572934,592,8,0.22006915934299234,0.6517009870805126,0.7010997850047098,12
28.48820706703971,311,10,0.14589758692715873,0.7352948730361004,0.7360969266219464,10
19.35899351419935,436,8,0.22744661563621466,0.9087460796761391,0.7696144429547586,16
28.286895154823902,708,6,0.24490064697672795,0.6094729372690092,0.7844327836291394,20
22.010383236437384,876,4,0.17796835612807432,0.7041702575598351,0.645976954376456,15
17.350107048649853,649,5,0.05649882550189611,0.7644006939658974,0.5498564899002566,26
30.928817239588128,744,3,0.10355241015781645,0.8042895504805954,0.6809651703445277,22
32.10065080690051,609,6,0.0920008625756394,0.6639153805171184,0.6168521796922904,31
30.704721253034727,514,7,0.13525999809249184,0.9084605851046323,0.7968390938820844,18
21.10633232952369,610,8,0.18939951694975024,0.8231867184908606,0.5867964515692524,12
21.244562148899128,830,10,0.2518212428113016,0.8842302891200504,0.7385060319509648,35
24.04081942312192,476,4,0.06302176940813983,0.788334647458909,0.8596404952644228,50
18.375658503559897,773,6,0.021229679562914484,0.9523891443015926,0.6498854356862829,41
22.37788176492932,586,7,0.1270238800457742,0.7514995734060845,0.5341837868581585,16
24.457935579131956,730,5,0.04320605875098797,0.8718068814344986,0.7127369837082248,13
22.310238336224483,661,5,0.059994843843424205,0.8264092862888087,0.5478390706779214,26
25.49611858672377,675,4,0.04708966650446626,0.7622980933684663,0.5713885560197158,27
28.247992790279586,628,6,0.027102777504797754,0.6966962955539975,0.5245582345647809,24
27.307206607685888,813,3,0.07364127637969585,0.7377425397671902,0.5598612687559034,30
28.95173996619741,562,10,0.09463406221363098,0.5293828584828602,0.5986691223072895,32
32.57059078047346,740,7,0.29607028521691325,0.7767094849233193,0.8339494938113615,10
20.665280121262192,505,8,0.034202226807110006,0.8382822448100327,0.5035349671659953,29
29.313492162379873,323,5,0.059025590869520195,0.6368212090551756,0.7528828344625088,21
28.856309266305285,441,11,0.2009296421734406,0.5898672949270314,0.6665528706722694,45
15.447378110168588,419,15,0.07163735919753109,0.574741756035237,0.6426383445522783,14
29.340927297010186,854,11,0.16547403385013718,0.5924152691405076,0.7877745166956941,45
16.996087016632774,554,5,0.01027731178031579,0.7085846859433251,0.6207331079076297,13
24.200413925792414,175,15,0.012745475768328546,0.8000264362182352,0.5030284849912724,48
26.118742709080102,311,7,0.0387920342655625,0.8599175988603716,0.748718673539986,31
24.485588973574078,490,8,0.03305823081491697,0.8708165845946952,0.5633238909078665,17
29.90775919487439,517,4,0.1293289383225461,0.6111062835227818,0.8189543791318129,21
22.698357960468474,551,8,0.1591250117402366,0.5462086000666968,0.5180126247477144,10
25.18878064556036,770,4,0.25418545091125283,0.6424076124787723,0.8574943908269146,44
23.616408304628745,443,14,0.03407377588840947,0.7227446798710006,0.5364261095516388,31
15.290315462679054,116,12,0.0757986151138561,0.9846677282361214,0.9482913152620449,24
25.786116964851455,115,12,0.07612182442377718,0.9991203375477993,0.9534257573930933,24
23.25111041955174,292,12,0.07353217846414832,0.9771144630131687,0.6785987687976915,24
23.41594451478589,702,14,0.06231937577850817,0.5214445070412104,0.9564821057621307,18
22.32089699422837,310,10,0.019461725979754433,0.9143037335325439,0.7033728124551212,38
26.725385232402402,997,13,0.10587939981290918,0.7914634630781684,0.8843046418819562,27
19.984982001874165,222,15,0.042773394946107414,0.6804937105702877,0.6277750328112186,15
28.179311709096755,385,11,0.021435841542563054,0.7666623301189553,0.9879063547679539,35
21.085792046321217,626,13,0.09274647950084441,0.9394449246684988,0.8872658310272481,10
29.312216816329332,129,10,0.24627949977686,0.8264335689972266,0.7218948685467654,20
25.9162634259057,401,15,0.053637729263114504,0.6665610196726037,0.6464170164414138,26
