rmse,n_estimators,max_depth,max_features
24.90833659507583,111,47,4
19.992917141824094,82,17,16
20.078438105535312,171,25,16
31.37956927945415,98,36,4
25.274178891753216,143,30,16
23.391899650055812,111,40,8
20.59589047226905,201,22,8
31.43112548754916,229,11,4
28.249990277584057,134,13,8
22.21546295789475,105,31,4
22.266931842131044,52,22,16
26.107512977813855,271,16,16
21.301740777604305,209,21,16
18.99639858446036,157,19,4
33.44407974106273,212,19,16
23.902699644453737,287,31,16
21.112455537160848,198,17,16
20.836327828411772,52,17,16
29.91160683802882,59,29,8
26.164655020910963,79,16,16
27.172164766281274,80,28,16
20.168417778387916,177,15,8
20.61769668279913,173,33,8
22.456280087780776,170,34,8
25.731943855261157,254,35,8
19.508007263995708,177,14,8
20.16218798798609,183,15,8
17.581307871560902,239,10,8
23.258656192708663,263,10,8
29.10621502239148,239,13,8
24.248194047202386,298,25,8
21.459016284135963,271,20,8
30.577047119479587,237,13,4
25.840514269928434,194,14,8
22.819226587480593,154,10,8
26.81302355986499,186,18,8
25.588522054575563,158,23,8
27.726438124897147,210,50,8
22.408487673741366,121,27,4
28.528172539052843,222,12,8
35.01777415593312,147,15,4
25.81494129080398,164,41,8
29.60691777402918,96,19,16
21.02421046168225,125,15,8
22.549389694311852,179,10,8
20.14358477452212,193,12,8
31.287314635949603,198,12,8
32.12588725367655,142,21,8
27.352412690299712,82,40,8
24.263403894645275,236,50,4
32.48791842747085,116,41,16
22.160382443649933,242,45,4
27.635250899623767,82,22,16
36.64928935404137,198,31,16
25.89549379952222,267,35,16
23.38925764206455,188,39,8
28.17957920342373,261,18,16
32.05340316248612,245,30,16
16.327621291572623,166,21,16
20.562948946704253,86,50,16
38.028385201776416,52,32,16
25.310814469344177,56,18,16
20.016731130394003,193,44,4
40.56946023199748,173,26,8
32.00561092776351,51,47,16
24.089862435638125,194,24,16
22.41470922080242,229,17,8
23.580045688834023,260,46,8
25.03695632717576,143,49,8
23.1787395534174,221,34,16
21.301709259653613,300,35,8
29.516593792001665,63,11,8
31.082705521230473,101,44,4
21.908755345546574,256,36,4
26.14726104688417,168,25,16
27.4714529120259,155,41,4
24.879894599323315,220,43,16
25.590835647563857,244,42,8
24.1846925353072,286,50,4
25.576003558175632,133,11,4
27.78196291443256,287,32,4
47.321627463362354,220,13,8
15.406910106452894,65,40,4
29.281385488613964,213,33,4
23.698837264627826,142,40,4
19.16581012083472,207,19,8
22.856348323636613,200,37,8
18.307116449493417,54,39,4
25.886927117861415,187,22,4
31.940326364052506,230,27,8
23.92228450212858,52,28,4
29.21194982700252,144,10,4
20.061754634713225,143,16,4
31.84854236662812,50,37,4
24.089706615975008,299,21,8
